id,first_name,last_name,full_name,country,ranking,ranking_points
89304,Novak,Djokovic,Novak Djokovic,Serbia,4,6210
86928,Rafael,Nadal,Rafael Nadal,Spain,153,380
342990,Alexander,Zverev,Alexander Zverev,Germany,3,6805
91668,Potro,Del,Potro Del,Argentina,265,230
93378,Kevin,Anderson,Kevin Anderson,South Africa,104,597
86064,Roger,Federer,Roger Federer,Switzerland,97,600
94410,Kei,Nishikori,Kei Nishikori,Japan,140,418
262500,Dominic,Thiem,Dominic Thiem,Austria,317,162
96732,John,Isner,John Isner,USA,332,155
92334,Marin,Cilic,Marin Cilic,Croatia,201,288
540492,Karen,Khachanov,Karen Khachanov,Russia,21,2225
734208,Stefanos,Tsitsipas,Stefanos Tsitsipas,Greece,11,3325
387492,Borna,Coric,Borna Coric,Croatia,95,620
108678,Milos,Raonic,Milos Raonic,Canada,239,240
92616,Fabio,Fognini,Fabio Fognini,Italy,79,721
981036,Daniil,Medvedev,Daniil Medvedev,Russia,5,5230
346230,Lucas,Pouille,Lucas Pouille,France,97,616
100332,Agut,Bautista,Agut Bautista,Spain,46,1171
267306,Marco,Cecchinato,Marco Cecchinato,Italy,371,130
291606,Diego,Schwartzman,Diego Schwartzman,Argentina,366,131
155040,David,Goffin,David Goffin,Belgium,50,1080
157236,Nikoloz,Basilashvili,Nikoloz Basilashvili,Georgia,311,166
244812,Busta,Carreno,Busta Carreno,Spain,203,286
141498,Grigor,Dimitrov,Grigor Dimitrov,Bulgaria,9,3740
707508,Denis,Shapovalov,Denis Shapovalov,Canada,80,718
86940,Fernando,Verdasco,Fernando Verdasco,Spain,461,94
86496,Richard,Gasquet,Richard Gasquet,France,133,452
1207446,Minaur,De,Minaur De,Australia,10,3725
392304,Kyle,Edmund,Kyle Edmund,United Kingdom,350,139
606618,Frances,Tiafoe,Frances Tiafoe,USA,17,2585
88428,Gilles,Simon,Gilles Simon,France,464,90
87756,Philipp,Kohlschreiber,Philipp Kohlschreiber,Germany,420,106
89076,Gael,Monfils,Gael Monfils,France,53,1015
230970,Steve,Johnson,Steve Johnson,USA,386,125
94986,Jeremy,Chardy,Jeremy Chardy,France,474,78
198702,John,Millman,John Millman,Australia,484,85
88650,Andreas,Seppi,Andreas Seppi,Italy,498,73
95910,Martin,Klizan,Martin Klizan,Slovakia,307,169
226722,Joao,Sousa,Joao Sousa,Portugal,466,90
816264,Taylor,Fritz,Taylor Fritz,USA,6,4335
537804,Nicolas,Jarry,Nicolas Jarry,Chile,37,1365
235416,Dusan,Lajovic,Dusan Lajovic,Serbia,72,746
